Sample,Year,Area,Easting,Northing,Temperature,pH,O2,HCO3-,Fe+2,HS-,SiO2,Li+,Na+,NH4+,K+,Mg+2,Ca+2,F-,Cl-,NO2-,Br-,NO3-,SO4-2,HPO4-2,H2,CH4,CO
120715SU,2012.0,White Creek,516066.56,4931148.11,53.6,6.725,0.000121875,0.0057250249999999,BDL,2.9341001114958046e-08,0.0051264980026631,0.0005014407145944,0.0131099802119223,3.603104212860311e-06,0.0003788860385234,BDL,1.0618044812615398e-05,0.0013234868421052,0.0068184884814292,1.2770351048799045e-06,9.96821185422507e-06,1.1426516291454386e-06,0.0002195039558609,BDL,NM,1.8293262085518208e-06,NM
120715SV,2012.0,White Creek,517069.0054,4930809.643,32.4,7.734,0.00024375,0.0023581346874999,BDL,3.814330144944545e-07,0.0020888814913448,5.986169139893387e-05,0.0033875068514172,8.647450110864745e-07,0.000459486729602,1.2314338613454024e-05,0.0003537451968661,0.0005063131578947,0.0014457997179125,BDL,1.75523127753304e-06,1.3321527814737225e-06,0.0002437648344784,BDL,NM,NM,NM
120715SW,2012.0,White Creek,516301.3413,4930903.338,71.9,6.747,2.8125e-05,0.0038682891666666,3.581020590868398e-07,2.640690100346224e-07,0.0042609853528628,0.0002017900878835,0.0065099202388679,3.0141352549889134e-06,0.0005042498650836,3.934375642871838e-06,0.0002505348944558,0.0006952796052631,0.0031041696050775,5.271166177589392e-07,3.5198488185822987e-06,3.669064864228472e-07,0.0001779419113054,BDL,NM,9.553091108654073e-08,NM
120715SX,2012.0,White Creek,516312.5172,4930907.18,45.1,7.344,7.1875e-05,0.0020448902083333,3.581020590868398e-07,4.401150167243706e-07,0.003353861517976,5.618786918311483e-05,0.0025746307701772,4.942719881744273e-07,0.0004825124536531,1.946444490159776e-05,0.0004361952525907,0.0003999631578947,0.0008405119887165,BDL,9.680366439727673e-07,1.1861965747868314e-06,0.0001909608577972,BDL,NM,1.985049012258032e-07,NM
120715SY,2012.0,White Creek,516075.5388,4931037.563,81.0,8.017,3.4375e-05,0.0046944816249999,3.581020590868398e-07,8.508890323337832e-07,0.0039613848202396,0.0005146448638524,0.0131935209962309,6.568736141906873e-06,0.0003877189033794,BDL,1.0788961525026198e-05,0.0013290526315789,0.0069284908321579,BDL,9.505156187424911e-06,BDL,0.0001560248802831,BDL,NM,1.0551259999706321e-08,NM
120715SZ,2012.0,White Creek,516061.2252,4931216.571,85.4,7.289,1.5625e-05,0.0053881634416666,7.162041181736796e-07,3.814330144944545e-07,0.0048435419440745,0.0004817101282235,0.0129386902495627,3.3605875831485586e-06,0.0003704291490934,BDL,8.472229153151356e-06,0.0013007565789473,0.0067100669957686,7.064449516356918e-07,8.801812174609532e-06,4.459324988831528e-07,0.0001854986466791,BDL,NM,9.59349795283011e-08,NM
120715SA,2012.0,White Creek,516061.2252,4931216.571,59.8,8.266,0.000103125,0.0052622114583333,5.371530886302595e-07,3.520920133794965e-07,0.0053428761651131,0.0005028238006051,0.0135065877927409,8.314855875831486e-07,0.0003898302483739,BDL,9.496481860372272e-06,0.0013373245614035,0.0070353196991067,3.260515161395501e-07,9.241715058069685e-06,4.798007899375694e-07,0.0001953279200499,BDL,NM,1.1200897809345893e-08,NM
120717TA,2012.0,Forest Springs,542015.27,4951150.17,51.4,1.793,8.4375e-05,0.0012894359666666,0.0002402864816472,2.42650079220703e-05,0.0043209054593874,3.506699322864141e-05,0.0001957870912056,0.000250155210643,0.0006655430031484,0.0001911232256737,0.0001245621038974,8.143684210526315e-05,7.60366713681241e-06,BDL,BDL,BDL,0.0130755604136303,8.11454816923832e-06,NM,7.880894357046215e-08,NM
120717TC,2012.0,Forest Springs,541832.96,4950887.09,73.9,1.714,3.4375e-05,0.0005576386666666,2.3634735899731426e-05,3.415292529781116e-05,0.0029294274300932,2.305143351102147e-07,3.7692853721148745e-05,0.0048885809312638,5.882352941176471e-05,1.207981896729068e-05,1.6586406507310743e-05,2.5526315789473685e-05,5.594734367653974e-06,5.796471398036445e-07,BDL,BDL,0.0192391734332708,1.2119438062406157e-06,NM,1.619477217130391e-08,NM
120717TD,2012.0,Forest Springs,541709.03,4950666.48,60.9,2.151,1.875e-05,0.0011311883666666,8.594449418084153e-05,6.16161023414119e-05,0.0043242343541944,1.5278778274023917e-05,0.0002209809067677,0.000267743902439,0.0004086392502998,9.524171981073853e-05,0.0001927965467338,4.973684210526316e-06,2.318758815232722e-06,BDL,BDL,BDL,0.0081383614407661,2.354919481022708e-06,NM,8.182338257813315e-08,NM
120717TG,2012.0,Forest Springs,542112.59,4951003.29,58.5,3.07,0.000140625,0.0004997006707932,4.476275738585497e-06,1.1619036441523385e-05,0.0064247669773635,5.712433366950008e-06,0.002611509493636,0.0009818920916481,0.0008994585442333,0.000124795309607,0.0003984205798692,1.4597368421052632e-05,4.245839210155148e-05,BDL,BDL,BDL,0.0033047470331043,1.131445887919942e-05,NM,2.1724556305029837e-07,NM
120723TL,2012.0,Forest Springs,541821.39,4950885.95,64.0,1.794,1.25e-05,0.0014688496333333,4.923903312444046e-05,BDL,0.0038265645805592,1.1741823944676562e-06,9.864822913183688e-05,0.0021819105691056,0.000203493502275,3.380580127545772e-05,3.615075602574979e-05,BDL,8.41560883874e-06,BDL,BDL,BDL,0.0204709903532514,1.8206533756478264e-05,NM,NM,NM
120723TN,2012.0,Forest Springs,541751.96,4950846.01,80.3,2.286,7.8125e-05,0.0001693101666666,1.9695613249776183e-05,1.7898010680124405e-05,0.0019041278295605,8.068001728857513e-07,6.005280000856033e-05,0.0040536169623059,0.0001171278546637,2.2365768360419666e-05,1.953066520285444e-05,7.394736842105264e-06,1.4471086036671368e-06,BDL,BDL,BDL,0.006238717988757,BDL,NM,1.9365254294429893e-08,NM
120723TO,2012.0,Forest Springs,541725.84,4950848.51,76.2,2.157,5.625e-05,0.0005550145,2.954341987466428e-05,1.9071650724722727e-05,0.0024900133155792,3.031983863996542e-05,0.0003146225610183,0.00116625,0.0002454991649253,5.9882740176918326e-05,0.0001780415689405,3.841842105263157e-05,4.493653032440056e-06,BDL,BDL,BDL,0.0066849156777014,BDL,NM,4.4571429605819865e-08,NM
130711SF,2013.0,Norris Geyser Basin,522537.68,4952727.84,66.4,3.433,4.0625e-05,8.108574999999999e-06,2.649955237242614e-05,9.682530367936157e-07,0.0054177762982689,0.0005626991787926,0.0130099338971174,7.063470066518848e-05,0.0009776794643245,7.0364122608516765e-06,0.0001065925195868,0.0002342310526315,0.0134004019746121,BDL,1.9050798458149782e-05,2.55221764731497e-07,0.0008786511555277,BDL,NM,1.0583046319261089e-07,7.561865640927093e-08
130711SG,2013.0,Norris Geyser Basin,522556.59,4952691.11,64.6,3.704,7.5e-05,2.2147708333333333e-05,2.4350940017905105e-05,1.1736400445983217e-07,0.0055176431424766,0.000521754790376,0.013311067849355,5.386640798226164e-05,0.0009701941005107,7.076321744497017e-06,8.303158840261489e-05,0.000233985,0.0110480112834978,BDL,1.713963005606728e-05,1.0488687184399945e-06,0.0006835468457214,BDL,NM,1.935334660393545e-07,6.96437609401234e-08
130711TB,2013.0,Forest Springs,542024.97,4951142.69,42.6,1.828,3.1375e-05,0.0036214966333333,0.0002381378692927,4.5331846722610175e-05,0.0035619174434087,3.580896124477741e-05,0.0001991316224186,0.0002503658536585,0.0006263575398418,0.0001852620859905,0.000129739258446,8.734736842105263e-05,9.2361071932299e-06,BDL,BDL,BDL,0.0161059962523422,6.764141625794712e-06,NM,1.1371890642439938e-06,1.699993862682405e-08
130712SI,2013.0,Geyser Creek,521520.3,4948218.5,76.9,7.123,1.25e-05,0.0047803025083333,7.162041181736796e-07,1.8484830702423568e-05,0.0056674434087882,0.0004791766316092,0.0192429423714522,2.350609756097561e-06,0.0005016643946156,BDL,8.747442487150058e-06,0.0010368631578947,0.0108638138222849,1.831322682317139e-07,1.511757859431318e-05,2.798165951400616e-07,0.0012716385592338,1.49518697207791e-07,NM,3.532181005431901e-07,2.9461636832829936e-07
130712SJ,2013.0,Geyser Creek,521520.3,4948218.5,80.4,7.166,2.1875e-05,0.0048428055583333,1.790510295434199e-07,4.1224106566516046e-05,0.0052430093209054,0.0004323224319262,0.0173292737304146,2.3960643015521065e-06,0.0004558410467974,BDL,9.180597834223265e-06,0.0010972105263157,0.0120011960507757,1.4846212368220845e-07,1.6427775830997194e-05,2.408680604274824e-07,0.0013084509681449,BDL,NM,1.2437350915871456e-07,3.101145439006918e-07
130712SK,2013.0,Geyser Creek,521520.3,4948218.5,89.4,7.196,5.84375e-06,0.0047589823833333,3.581020590868398e-07,7.085851769262368e-05,0.0056258322237017,0.000489074340873,0.0216662681560654,2.926274944567628e-06,0.0005841931746393,BDL,1.0600329357752382e-05,0.0010842368421052,0.0118451974612129,3.112705140745571e-07,1.625976171405687e-05,2.448193610504976e-07,0.0012867869040183,BDL,NM,4.0099689938620825e-07,2.595390153276217e-07
130712SO,2013.0,Geyser Creek,521591.0,4948273.0,58.5,6.804,4.375e-05,0.002046756625,BDL,1.6137550613226925e-06,0.0045938748335552,0.0004694986313211,0.0154026667253594,1.8971729490022173e-05,0.0006061230283669,6.599876568607282e-06,0.0001173708767902,0.0008493947368421,0.0110261318758815,1.403108357787197e-07,1.5033790548658393e-05,BDL,0.001194837861753,BDL,NM,1.246016837396489e-07,1.9476596182241725e-07
130712TF,2013.0,Norris Geyser Basin,523030.0,4952607.0,87.0,2.79,2.390625e-05,1.4674366666666668e-05,0.0001450313339301,4.401150167243706e-07,0.0072070572569906,0.0001415934303414,0.0072042426785584,0.0001247436252771,0.0012200903875616,1.4367414112322568e-05,7.008046808722989e-05,3.598736842105263e-05,0.0088313222849083,BDL,1.2515581197436925e-05,3.152976619589743e-07,0.0021611167499479,3.2114931442518485e-07,NM,2.5009352483332733e-07,2.1597264369068186e-07
130712TG,2013.0,Norris Geyser Basin,523038.23,4952612.82,80.1,2.819,1.10625e-05,0.0002080456208333,5.192479856759176e-05,3.5209201337949647e-06,0.0067493342210386,0.0003485319118282,0.0094266149433689,0.0001236031042128,0.0013338411132964,1.660213947747377e-05,0.0001043538849243,8.342e-05,0.008810335684062,BDL,1.3089519923908691e-05,6.193865323547011e-07,0.0018154601290859,3.400497412905359e-07,NM,9.047876189066564e-07,1.991638253078417e-07
130712TH,2013.0,Norris Geyser Basin,523033.0,4952621.0,86.7,7.136,1.58125e-05,9.35078e-05,3.581020590868398e-07,6.161610234141189e-07,0.0072486684420772,0.0009063650770782,0.0198992933008591,3.156180709534368e-05,0.0012827058976988,1.883974490845505e-06,0.0002384843305554,0.000413777368421,0.0171209714386459,BDL,2.5056755606728074e-05,2.260305233941189e-07,0.0003891105038517,1.4783924423563305e-06,NM,BDL,1.9813869128313888e-07
130712TI,2013.0,Norris Geyser Basin,523037.36,4952618.07,50.0,2.99,3.75e-05,5.186273333333333e-05,1.9337511190689345e-05,5.281380200692447e-07,0.007914447403462,0.0006986392450655,0.0156226341378201,6.568736141906874e-05,0.0014844393490254,8.372968524994856e-06,0.0001640108039323,0.0002891478947368,0.0160739609779031,1.974423069956164e-07,2.2923195334401283e-05,3.683579846108937e-07,0.0012899932333957,1.0361013947356785e-06,NM,1.2972676864915824e-08,NM
130712TJ,2013.0,Norris Geyser Basin,523058.21,4952651.82,80.9,3.029,1.153125e-05,0.0001380989558805,8.236347358997315e-06,1.393697552960507e-05,0.0079310918774966,0.0003744849445324,0.0094389523154118,0.0001072754988913,0.0012924688541445,1.2609339642048965e-05,0.0001000454114476,0.0001072905263157,0.0089622543488481,BDL,1.36914922907489e-05,BDL,0.0013648899993059,BDL,NM,9.836793948657376e-08,1.4500369946437844e-07
130713SQ,2013.0,Geyser Creek,521443.0,4948588.0,70.8,3.661,9.6875e-05,6.343599583333333e-05,5.192479856759177e-06,2.523326095886391e-06,0.002979360852197,0.0002546816020746,0.0065461474043809,0.0004966832963784,0.0002725504689462,3.813618596996503e-06,5.709641199660661e-05,0.0001381444736842,0.0022741294781382,BDL,2.835840508610332e-06,4.008554162654887e-07,0.0030453414532583,BDL,NM,3.9712207069460594e-08,1.0269391277721569e-07
130713SR,2013.0,Geyser Creek,521443.0,4948588.0,87.8,3.698,5e-05,5.214563333333333e-05,7.878245299910475e-06,3.1981691215304263e-06,0.0030459387483355,0.0002295865149113,0.0060720995790199,0.0004655210643015,0.0002610329605123,3.054309812795721e-06,5.285455861070912e-05,0.0001274034210526,0.0022127669957686,BDL,2.822136563876652e-06,BDL,0.0030022529321951,BDL,NM,8.583249383406654e-09,1.6313919857611768e-07
130713SS,2013.0,Geyser Creek,521424.0,4948595.0,67.4,2.515,1.25e-05,0.0007120401958333,6.266786034019695e-06,1.907165072472273e-06,0.0041278295605858,0.0002281753349661,0.006111091561352,0.0001846543791574,0.0003368289669883,5.984982513886032e-06,5.946654024651928e-05,0.0001394644736842,0.0031505101081335,BDL,3.989537444933921e-06,2.43448501650676e-07,0.0053412997085155,3.8780095902555933e-07,NM,1.3196657876970032e-08,1.1648288036817445e-07
130713ST,2013.0,Geyser Creek,521487.0,4948544.0,76.3,5.645,7.21875e-06,0.00044615725,1.074306177260519e-06,1.1912446452672964e-05,0.0040279627163781,0.0009140397637228,0.0180489185754759,4.576635254988914e-05,0.0008964971622807,1.0629500102859494e-06,0.0001547584709815,0.0007930427631578,0.0189593794076163,1.7574176719921745e-07,2.1376401682018424e-05,1.0600775100032418e-06,0.0012439409613783,BDL,NM,2.9279471220290285e-08,8.152787196944679e-08
130713SV,2013.0,Geyser Creek,521490.0,4948534.0,62.4,6.364,4.0625e-05,0.00047341105,1.790510295434199e-07,6.161610234141189e-07,0.0034370838881491,0.0009466589828554,0.0188775480410438,6.9351094789357e-05,0.0009346420432601,1.167866694095865e-06,0.0001580234792155,0.0007820641447368,0.0158368520803949,7.727420932507336e-08,2.2570334401281536e-05,4.0053286111258953e-07,0.0012442792915885,2.631844955428688e-06,NM,4.6835531375852166e-08,1.1146853633509928e-07
130713TO,2013.0,Rabbit Creek,515106.84,4929540.17,91.0,8.669,6.1562500000000006e-06,0.002476073775,1.790510295434199e-07,6.249633237486063e-06,0.0059004660452729,0.0006280680017288,0.0137643401288634,5.231430155210643e-06,0.0002564348066284,2.281423575396009e-07,1.336705923449274e-05,0.0013136776315789,0.0076686036671368,8.15128790348875e-08,1.071166649979976e-05,7.875184058034123e-07,0.0002119180720383,BDL,NM,NM,1.1306908023100013e-07
130713TP,2013.0,Rabbit Creek,515070.67,4929553.6,76.8,8.792,2.296875e-05,0.0026768427833333,BDL,2.640690100346224e-07,0.0060752330226364,0.0006404163665177,0.0135685225893309,3.181818181818182e-06,0.0002530239166408,BDL,1.435850092319976e-05,0.0012586631578947,0.0076034442877291,1.7182914900554289e-07,9.81740588706448e-06,3.232002632050048e-07,0.000218764678326,BDL,NM,3.282180021409745e-07,2.05173560422066e-07
130713TQ,2013.0,Rabbit Creek,515111.22,4929727.14,51.8,3.808,0.000175,0.0004736406666666,2.1486123545210385e-05,1.0562760401384891e-06,0.0036451398135818,2.4686644575709547e-06,0.0002772937822907,8.713137472283814e-06,0.000236845591752,8.883974490845504e-06,3.5762887369629214e-05,1.3828157894736842e-05,7.741184767277856e-06,BDL,BDL,BDL,0.0004006875390381,BDL,NM,7.742599449903904e-07,3.592383674880775e-07
130713TR,2013.0,Rabbit Creek,515108.88,4929721.26,40.8,5.386,0.000115625,0.0002274206333333,7.162041181736796e-07,5.868200222991609e-08,0.0038615179760319,2.916726696441435e-06,0.0002747981069318,1.1870842572062085e-06,0.0001461028996145,1.7759720222176506e-06,8.44615499775438e-06,2.178710526315789e-05,9.078138222849082e-06,3.151831322682317e-08,BDL,4.015005265712871e-06,0.0001826021757235,1.8226539779344094e-07,NM,4.932299472122059e-08,7.970116414196565e-08
130713TS,2013.0,Rabbit Creek,515013.18,4929806.75,59.2,4.136,3.4375e-05,0.0002137539666666,2.88272157564906e-05,1.211783346047767e-05,0.0033621837549933,3.684195360899006e-05,0.0011281339973446,0.0001070468403547,0.0003184408273505,9.689364328327505e-06,2.9624107989420628e-05,6.779078947368421e-05,0.0004554139633286,BDL,5.10675310372447e-07,5.602783005859215e-07,0.0006870777638975,BDL,NM,5.936867318750895e-08,1.11958716579287e-07
130714SX,2013.0,Washburn Springs,545171.3,4957204.94,89.8,2.731,2.1625e-05,5.808653333333333e-05,0.0002793196060877,3.5209201337949647e-06,0.0061001997336884,6.569658550641117e-07,0.0010388075234683,0.0273906596452328,9.40612507449173e-05,0.0007253367619831,0.0007056907779829,1.0276315789473683e-05,7.545839210155147e-06,BDL,BDL,BDL,0.0192606704143243,2.0926299917659424e-06,NM,NM,1.001756966618462e-07
130714SY,2013.0,Washburn Springs,545109.78,4957196.4,79.6,5.641,8.375e-06,0.0007383663833333,BDL,1.0856170412534475e-05,0.0043608521970705,BDL,0.0002817422828389,0.0545588414634146,0.0001089836386748,0.0001401102653774,0.0001490416188432,5.868421052631579e-06,4.118476727785613e-06,BDL,BDL,BDL,0.0230534509681449,BDL,NM,NM,1.9299055879212557e-07
130714SZ,2013.0,Washburn Springs,545088.54,4957225.57,82.7,5.883,NM,0.0004149775157804,3.581020590868398e-07,5.3694032040373214e-05,0.0023635153129161,BDL,0.0001515828627943,0.0380718218773096,0.0001077245046459,7.547377082904752e-05,6.839700084834572e-05,4.9824561403508765e-06,6.196520921485661e-06,BDL,BDL,BDL,0.0158619300437226,BDL,NM,NM,1.3492900820271484e-07
130714TU,2013.0,Sylvan Springs,518628.87,4949652.95,52.8,2.434,9.375e-06,0.0032653861833333,2.88272157564906e-05,3.359544627662696e-05,0.0033621837549933,0.000227120731883,0.0061588156888396,0.0002725263303769,0.0006883427156679,2.1034560789960908e-05,0.0001077956734367,0.0001703355263157,0.0040962588152327,BDL,5.322011413696436e-06,5.734224230665641e-07,0.0052622085155111,1.3317693537212253e-06,NM,NM,6.190460714914433e-08
130714TV,2013.0,Sylvan Springs,518628.87,4949652.95,44.3,2.416,9.0625e-05,0.0001872425787606,5.3715308863025965e-05,1.379027052403028e-06,0.0052929427430093,0.0002083799164385,0.0058935020182238,0.0001632968403547,0.0006375617354207,1.909236782555029e-05,9.8399995009731e-05,0.0001592210526315,0.0037744763751763,BDL,5.143672406888266e-06,5.100403355218701e-07,0.0053647498958983,4.511884630530875e-07,NM,NM,1.792311774277074e-07
130714TY,2013.0,Sylvan Springs,518589.61,4949632.09,27.7,2.227,0.0002125,0.0005194021333333,2.864816472694718e-05,8.215480312188252e-07,0.0069157789613848,0.0001771488258176,0.005375046758118,0.0002868209534368,0.0008538148717463,1.9324007405883564e-05,0.0001114920904236,0.0001637639473684,0.0036371885284438,BDL,4.633497697236684e-06,1.0428208093231342e-06,0.0068616576445277,7.936599860589609e-07,NM,NM,NM
130714TZ,2013.0,Sylvan Springs,518653.48,4949646.29,30.0,3.762,0.000184375,0.0012998138166666,0.0001119068934646,1.4670500557479022e-06,0.003703395472703,0.0001474801901743,0.0054323323851869,0.0001003067257945,0.0005747836862472,2.890022629088665e-05,0.0001550048655122,0.0001740181578947,0.002917461212976,BDL,3.744117941529836e-06,8.910586098840575e-07,0.0024828936775626,4.558214367693852e-07,NM,NM,2.4195084953329965e-07
130716SD,2013.0,GOPA,544532.72,4939788.99,74.8,4.641,1.58125e-05,0.0009143791166666,1.9158460161145925e-05,2.171234082506895e-06,0.0039114513981358,5.870047543581617e-05,0.0038122470913039,7.720620842572062e-06,0.0006984114398835,0.0003343604196667,0.0005893708518389,0.0002834892105263,0.0016219672778561,BDL,1.920241790148178e-06,2.668337502358685e-07,0.0023152758692483,6.8804924429881e-07,NM,1.0094626115158413e-08,9.55892813466284e-08
130716SE,2013.0,GOPA,544548.77,4939849.92,35.0,6.194,0.00011875,0.0013581975499999,7.162041181736796e-07,6.748430256440349e-07,0.0046854194407456,0.0002884764443163,0.0142191049201059,5.962444567627494e-06,0.0009594566771445,3.674675992594117e-05,0.0001761644792654,0.0009510427631578,0.0072257316643159,2.1769372894250625e-07,9.485319883860633e-06,2.5256068472007856e-07,0.0022733057464084,6.945248780159078e-07,NM,1.8492430692083746e-07,5.4232321441628776e-08
130716SF,2013.0,GOPA,544532.18,4939792.16,39.5,3.77,9.0625e-05,0.0043376535333333,4.3330349149507605e-05,3.1394871193005105e-06,0.0047519973368841,0.0003297946981702,0.0162224306531019,3.1286031042128617e-05,0.0011436292626533,8.91600493725571e-05,0.0002155320874295,0.0009811894736842,0.0107488406205923,2.564938593631128e-08,1.335452543051662e-05,2.049192886368658e-06,0.0033112332569921,1.765373575623819e-06,NM,6.943867490228673e-08,1.628714751187605e-07
130716SG,2013.0,GOPA,544548.77,4939849.92,78.9,5.68,1.946875e-05,0.0010057343708333,5.013428827215757e-06,3.520920133794965e-07,0.0046937416777629,0.000267472266244,0.0128921173588129,1.357538802660754e-05,0.000902990283465,4.457951038880889e-05,0.0001736543739707,0.0008983,0.0086249026798307,1.195522225845017e-07,1.1274091409691632e-05,5.451182083996588e-07,0.002284115136373,1.058897731317007e-06,NM,BDL,1.5973006014723626e-07
130716TB,2013.0,Shoshone Geyser Basin,516056.79,4911242.97,51.7,3.177,1.584375e-05,0.0025718793999999,9.310653536257832e-05,8.215480312188252e-07,0.0042193741677762,3.036017864860972e-05,0.0014404368308354,0.0003529115853658,0.0003406433272034,2.983192758691628e-05,7.09765956385049e-05,0.0001503476315789,0.0003108148095909,3.8256711227040544e-08,3.925335402482979e-07,7.554241680899412e-07,0.0016784132313137,3.779032424498323e-07,NM,1.0972372311848456e-06,4.454155128705362e-08
130716TC,2013.0,Shoshone Geyser Basin,516025.96,4911093.39,82.4,8.091,1.703125e-05,0.0068522228416666,7.162041181736796e-07,2.9164955108268296e-05,0.0062832889480692,0.0002109998559285,0.0146952629232594,8.15410199556541e-06,0.0003775954453262,BDL,5.388492439742501e-06,0.0011445105263157,0.005361071932299,BDL,7.153021125350422e-06,BDL,0.0004445653237559,BDL,NM,1.0781834218330434e-08,7.796344826059296e-08
130716TD,2013.0,Shoshone Geyser Basin,516025.96,4911093.39,93.2,7.919,4.25e-06,0.0072016749833333,BDL,3.168828120415469e-05,0.0094041278295605,0.0002068938193343,0.0142169066596536,1.733370288248337e-05,0.0003705363148781,BDL,3.088602225659963e-06,0.0011149894736842,0.0052131650211565,2.9670687968699053e-08,7.019736183420104e-06,BDL,0.000436113314595,1.484710133787645e-06,NM,NM,NM
130716TF,2013.0,Shoshone Geyser Basin,516318.3,4911276.67,85.2,2.67,7.375e-06,0.0006560407416666,5.3715308863025965e-05,5.23736869902001e-05,0.0072237017310253,2.8481486817461465e-05,0.0026310731960812,6.345454545454546e-05,0.000611417376203,9.039086607693893e-06,4.627463945306651e-05,0.0001556942105263,0.0018022689703808,BDL,2.2933144773728474e-06,3.396505760028643e-07,0.0033847881532375,3.563177967261723e-07,NM,1.016962605708708e-06,NM
130716TG,2013.0,Shoshone Geyser Basin,516318.3,4911276.67,35.4,2.559,0.00011875,2.3763433333333334e-05,1.0743061772605193e-05,7.04184026758993e-07,0.0068492010652463,3.401743264659271e-05,0.0029940030062938,8.959257206208426e-05,0.0007485929055738,1.0894877597202224e-05,5.338939068815808e-05,0.0001589586842105,0.0018596011283497,BDL,2.3587680216259515e-06,1.657933485901921e-07,0.0035909620289402,4.079122767485791e-07,NM,3.459012545102714e-08,7.911891914748166e-08
130717SI,2013.0,Crater Hills,540858.94,4944563.82,75.8,2.14,1.2125e-05,0.0003114200416666,0.0002417188898836,1.1296285429258848e-05,0.0066577896138482,6.151851318253854e-06,0.0014709140835647,0.0007173295454545,0.0004173481967246,0.0005029738736885,0.0007805495533709,2.707736842105263e-05,3.831509167842031e-05,2.271492229105532e-08,BDL,3.246517613930512e-07,0.0107295879528419,5.64275139673628e-07,NM,1.1453350553668609e-08,1.6506542596330056e-07
130717SK,2013.0,Crater Hills,541088.31,4944727.42,85.3,3.759,9.96875e-06,0.0001997342916666,1.557743957027753e-05,7.95141130215363e-06,0.0121504660452729,0.000878402967872,0.0205285609872809,0.0007659628603104,0.00274156459488,1.8145443324418845e-05,0.0001126749089275,0.0020087631578947,0.019235081100141,BDL,2.6673508209851823e-05,6.046296341095623e-07,0.0051199797001873,2.4528963456366863e-06,NM,5.3131066518995234e-08,2.2916121812604397e-07
130717SL,2013.0,Crater Hills,541115.15,4944509.37,88.7,1.859,NM,0.0004964183583333,0.0002596239928379,0.0029986503139487,0.0112350199733688,3.335254286125919e-07,0.0001420240455656,0.0009689838553215,0.0004299569290736,5.141555235548242e-05,7.55045161934228e-05,1.0164473684210526e-05,3.1782792665726376e-06,BDL,BDL,8.117906810590777e-07,0.0147778227800333,BDL,NM,BDL,BDL
130717SM,2013.0,Crater Hills,541083.43,4944708.52,59.9,3.602,5.9375e-05,7.488329696413966e-05,6.982990152193375e-06,1.2616630479431956e-06,0.0074400798934753,0.0012053313643567,0.0328297513559183,0.001055399113082,0.0044454004394052,2.0983336761983133e-05,0.0002083992464693,0.002177547368421,0.0240401071932299,7.781762851863926e-07,3.691511063275932e-05,5.723741188196415e-07,0.0059749469081823,2.598677075414283e-06,NM,5.830835460354454e-09,2.1656911522120282e-07
130717SN,2013.0,Crater Hills,541088.31,4944727.42,42.2,3.478,6.25e-05,9.527791666666669e-06,6.266786034019695e-06,3.227510122645385e-07,0.0059920106524633,0.001138722806512,0.0305567373614468,0.0009866038433111,0.004160014629792,2.468031269286156e-05,0.0001953208742951,0.0021551842105263,0.0258402585801598,BDL,3.492522276732079e-05,3.226357916874312e-07,0.0056219376778402,3.1009335442038338e-06,NM,3.930983416557422e-09,NM
130717TH,2013.0,Shoshone Geyser Basin,515784.16,4911111.99,75.4,8.522,2.46875e-05,0.0062270139,1.790510295434199e-07,1.7311190657825245e-06,0.0056008655126498,0.0002363946117274,0.0142394079731727,4.83370288248337e-06,0.000314027208344,BDL,1.1142397325215829e-05,0.0011031578947368,0.00525223977433,2.2247581784588642e-07,7.026118842611133e-06,2.2361135974737482e-07,0.0004263053820528,1.2463225771126885e-06,NM,5.0283805952561225e-08,NM
130717TI,2013.0,Shoshone Geyser Basin,515784.16,4911111.99,67.3,8.5,2.5e-05,0.00668538175,7.162041181736796e-07,1.0856170412534474e-06,0.0046354860186418,0.0002429621092061,0.0145983415492343,5.266075388026609e-06,0.0003251173324671,BDL,1.1591771046459402e-05,0.0011197105263157,0.0053505430183356,6.115639604390827e-07,7.157651682018423e-06,1.5312499496007576e-06,0.0004439161288083,1.129076753633199e-06,NM,8.306834638134426e-09,NM
130717TK,2013.0,Shoshone Geyser Basin,515848.71,4911187.76,81.0,8.069,1.7593749999999997e-05,0.007283725,8.952551477170994e-07,2.200575083621853e-06,0.0053095872170439,0.0002332761849877,0.0138352455825023,6.108647450110865e-06,0.0004309262806822,BDL,6.702055990817905e-06,0.0010411052631578,0.0048470944992947,4.3799587001412896e-08,6.412882959551462e-06,2.486093840970633e-06,0.0004209396210701,2.340178201016306e-06,NM,1.252091770001701e-08,NM
130717TL,2013.0,Shoshone Geyser Basin,515678.62,4911025.16,64.4,4.117,2.1875e-05,0.0012810558333333,4.476275738585497e-06,6.748430256440349e-07,0.0041278295605858,1.3692551505546754e-05,0.0007556037209421,6.14578713968958e-05,0.0004726280938045,5.79572104505246e-06,2.369541893308049e-05,2.360578947368421e-05,5.323074753173483e-05,BDL,BDL,9.630690477688054e-07,0.000680744222361,3.8806419616853073e-07,NM,4.668086094937203e-07,NM
